text,textLen,wordCount,features,scaledFeatures,tokenizedWordsString
CHAPTER XII.   Alice’s Evidence,32,7,"[32.0,7.0]","[-0.36039606528278906,-0.23533769979829575]","[, chapter, xii., , , alice’s, evidence]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
CHAPTER I.,10,2,"[10.0,2.0]","[-1.107144149164003,-1.145190792871278]","[chapter, i.]"
Down the Rabbit-Hole,20,3,"[20.0,3.0]","[-0.7677132019452694,-0.9632201742566815]","[down, the, rabbit-hole]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Alice was beginning to get very tired of sitting by her sister on the,69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[alice, was, beginning, to, get, very, tired, of, sitting, by, her, sister, on, the]"
"bank, and of having nothing to do: once or twice she had peeped into",68,14,"[68.0,14.0]","[0.8615553447046519,1.0384566305038794]","[bank,, and, of, having, nothing, to, do:, once, or, twice, she, had, peeped, into]"
"the book her sister was reading, but it had no pictures or",58,12,"[58.0,12.0]","[0.5221243974859183,0.6745153932746865]","[the, book, her, sister, was, reading,, but, it, had, no, pictures, or]"
"conversations in it, “and what is the use of a book,” thought Alice",67,13,"[67.0,13.0]","[0.8276122499827785,0.8564860118892829]","[conversations, in, it,, “and, what, is, the, use, of, a, book,”, thought, alice]"
“without pictures or conversations?”,36,4,"[36.0,4.0]","[-0.22462368639529565,-0.781249555642085]","[“without, pictures, or, conversations?”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"So she was considering in her own mind (as well as she could, for the",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[so, she, was, considering, in, her, own, mind, (as, well, as, she, could,, for, the]"
"hot day made her feel very sleepy and stupid), whether the pleasure of",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[hot, day, made, her, feel, very, sleepy, and, stupid),, whether, the, pleasure, of]"
making a daisy-chain would be worth the trouble of getting up and,65,12,"[65.0,12.0]","[0.7597260605390318,0.6745153932746865]","[making, a, daisy-chain, would, be, worth, the, trouble, of, getting, up, and]"
"picking the daisies, when suddenly a White Rabbit with pink eyes ran",68,12,"[68.0,12.0]","[0.8615553447046519,0.6745153932746865]","[picking, the, daisies,, when, suddenly, a, white, rabbit, with, pink, eyes, ran]"
close by her.,13,3,"[13.0,3.0]","[-1.005314864998383,-0.9632201742566815]","[close, by, her.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
There was nothing so _very_ remarkable in that; nor did Alice think it,70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[there, was, nothing, so, _very_, remarkable, in, that;, nor, did, alice, think, it]"
"so _very_ much out of the way to hear the Rabbit say to itself, “Oh",67,15,"[67.0,15.0]","[0.8276122499827785,1.2204272491184758]","[so, _very_, much, out, of, the, way, to, hear, the, rabbit, say, to, itself,, “oh]"
"dear! Oh dear! I shall be late!” (when she thought it over afterwards,",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[dear!, oh, dear!, i, shall, be, late!”, (when, she, thought, it, over, afterwards,]"
"it occurred to her that she ought to have wondered at this, but at the",70,15,"[70.0,15.0]","[0.9294415341483986,1.2204272491184758]","[it, occurred, to, her, that, she, ought, to, have, wondered, at, this,, but, at, the]"
time it all seemed quite natural); but when the Rabbit actually _took a,71,13,"[71.0,13.0]","[0.963384628870272,0.8564860118892829]","[time, it, all, seemed, quite, natural);, but, when, the, rabbit, actually, _took, a]"
"watch out of its waistcoat-pocket_, and looked at it, and then hurried",70,12,"[70.0,12.0]","[0.9294415341483986,0.6745153932746865]","[watch, out, of, its, waistcoat-pocket_,, and, looked, at, it,, and, then, hurried]"
"on, Alice started to her feet, for it flashed across her mind that she",70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[on,, alice, started, to, her, feet,, for, it, flashed, across, her, mind, that, she]"
"had never before seen a rabbit with either a waistcoat-pocket, or a",67,12,"[67.0,12.0]","[0.8276122499827785,0.6745153932746865]","[had, never, before, seen, a, rabbit, with, either, a, waistcoat-pocket,, or, a]"
"watch to take out of it, and burning with curiosity, she ran across the",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[watch, to, take, out, of, it,, and, burning, with, curiosity,, she, ran, across, the]"
"field after it, and fortunately was just in time to see it pop down a",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[field, after, it,, and, fortunately, was, just, in, time, to, see, it, pop, down, a]"
large rabbit-hole under the hedge.,34,5,"[34.0,5.0]","[-0.29250987583904237,-0.5992789370274886]","[large, rabbit-hole, under, the, hedge.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"In another moment down went Alice after it, never once considering how",70,12,"[70.0,12.0]","[0.9294415341483986,0.6745153932746865]","[in, another, moment, down, went, alice, after, it,, never, once, considering, how]"
in the world she was to get out again.,38,9,"[38.0,9.0]","[-0.15673749695154893,0.1286035374308971]","[in, the, world, she, was, to, get, out, again.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"The rabbit-hole went straight on like a tunnel for some way, and then",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[the, rabbit-hole, went, straight, on, like, a, tunnel, for, some, way,, and, then]"
"dipped suddenly down, so suddenly that Alice had not a moment to think",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[dipped, suddenly, down,, so, suddenly, that, alice, had, not, a, moment, to, think]"
about stopping herself before she found herself falling down a very,67,11,"[67.0,11.0]","[0.8276122499827785,0.49254477466009]","[about, stopping, herself, before, she, found, herself, falling, down, a, very]"
deep well.,10,2,"[10.0,2.0]","[-1.107144149164003,-1.145190792871278]","[deep, well.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Either the well was very deep, or she fell very slowly, for she had",67,14,"[67.0,14.0]","[0.8276122499827785,1.0384566305038794]","[either, the, well, was, very, deep,, or, she, fell, very, slowly,, for, she, had]"
plenty of time as she went down to look about her and to wonder what,68,15,"[68.0,15.0]","[0.8615553447046519,1.2204272491184758]","[plenty, of, time, as, she, went, down, to, look, about, her, and, to, wonder, what]"
"was going to happen next. First, she tried to look down and make out",68,14,"[68.0,14.0]","[0.8615553447046519,1.0384566305038794]","[was, going, to, happen, next., first,, she, tried, to, look, down, and, make, out]"
"what she was coming to, but it was too dark to see anything; then she",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[what, she, was, coming, to,, but, it, was, too, dark, to, see, anything;, then, she]"
"looked at the sides of the well, and noticed that they were filled with",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[looked, at, the, sides, of, the, well,, and, noticed, that, they, were, filled, with]"
cupboards and book-shelves; here and there she saw maps and pictures,68,11,"[68.0,11.0]","[0.8615553447046519,0.49254477466009]","[cupboards, and, book-shelves;, here, and, there, she, saw, maps, and, pictures]"
hung upon pegs. She took down a jar from one of the shelves as she,66,15,"[66.0,15.0]","[0.7936691552609052,1.2204272491184758]","[hung, upon, pegs., she, took, down, a, jar, from, one, of, the, shelves, as, she]"
"passed; it was labelled “ORANGE MARMALADE”, but to her great",60,10,"[60.0,10.0]","[0.590010586929665,0.31057415604549354]","[passed;, it, was, labelled, “orange, marmalade”,, but, to, her, great]"
disappointment it was empty: she did not like to drop the jar for fear,70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[disappointment, it, was, empty:, she, did, not, like, to, drop, the, jar, for, fear]"
"of killing somebody underneath, so managed to put it into one of the",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[of, killing, somebody, underneath,, so, managed, to, put, it, into, one, of, the]"
cupboards as she fell past it.,30,6,"[30.0,6.0]","[-0.4282822547265358,-0.4173083184128922]","[cupboards, as, she, fell, past, it.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Well!” thought Alice to herself, “after such a fall as this, I shall",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[“well!”, thought, alice, to, herself,, “after, such, a, fall, as, this,, i, shall]"
think nothing of tumbling down stairs! How brave they’ll all think me,69,12,"[69.0,12.0]","[0.8954984394265252,0.6745153932746865]","[think, nothing, of, tumbling, down, stairs!, how, brave, they’ll, all, think, me]"
"at home! Why, I wouldn’t say anything about it, even if I fell off the",70,15,"[70.0,15.0]","[0.9294415341483986,1.2204272491184758]","[at, home!, why,, i, wouldn’t, say, anything, about, it,, even, if, i, fell, off, the]"
top of the house!” (Which was very likely true.),48,9,"[48.0,9.0]","[0.18269345026718467,0.1286035374308971]","[top, of, the, house!”, (which, was, very, likely, true.)]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Down, down, down. Would the fall _never_ come to an end? “I wonder how",70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[down,, down,, down., would, the, fall, _never_, come, to, an, end?, “i, wonder, how]"
many miles I’ve fallen by this time?” she said aloud. “I must be,64,13,"[64.0,13.0]","[0.7257829658171584,0.8564860118892829]","[many, miles, i’ve, fallen, by, this, time?”, she, said, aloud., “i, must, be]"
getting somewhere near the centre of the earth. Let me see: that would,70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[getting, somewhere, near, the, centre, of, the, earth., let, me, see:, that, would]"
"be four thousand miles down, I think—” (for, you see, Alice had learnt",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[be, four, thousand, miles, down,, i, think—”, (for,, you, see,, alice, had, learnt]"
"several things of this sort in her lessons in the schoolroom, and",65,12,"[65.0,12.0]","[0.7597260605390318,0.6745153932746865]","[several, things, of, this, sort, in, her, lessons, in, the, schoolroom,, and]"
though this was not a _very_ good opportunity for showing off her,65,12,"[65.0,12.0]","[0.7597260605390318,0.6745153932746865]","[though, this, was, not, a, _very_, good, opportunity, for, showing, off, her]"
"knowledge, as there was no one to listen to her, still it was good",66,14,"[66.0,14.0]","[0.7936691552609052,1.0384566305038794]","[knowledge,, as, there, was, no, one, to, listen, to, her,, still, it, was, good]"
"practice to say it over) “—yes, that’s about the right distance—but",67,11,"[67.0,11.0]","[0.8276122499827785,0.49254477466009]","[practice, to, say, it, over), “—yes,, that’s, about, the, right, distance—but]"
then I wonder what Latitude or Longitude I’ve got to?” (Alice had no,68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[then, i, wonder, what, latitude, or, longitude, i’ve, got, to?”, (alice, had, no]"
"idea what Latitude was, or Longitude either, but thought they were nice",71,12,"[71.0,12.0]","[0.963384628870272,0.6745153932746865]","[idea, what, latitude, was,, or, longitude, either,, but, thought, they, were, nice]"
grand words to say.),20,4,"[20.0,4.0]","[-0.7677132019452694,-0.781249555642085]","[grand, words, to, say.)]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Presently she began again. “I wonder if I shall fall right _through_,68,12,"[68.0,12.0]","[0.8615553447046519,0.6745153932746865]","[presently, she, began, again., “i, wonder, if, i, shall, fall, right, _through_]"
the earth! How funny it’ll seem to come out among the people that walk,70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[the, earth!, how, funny, it’ll, seem, to, come, out, among, the, people, that, walk]"
"with their heads downward! The Antipathies, I think—” (she was rather",69,11,"[69.0,11.0]","[0.8954984394265252,0.49254477466009]","[with, their, heads, downward!, the, antipathies,, i, think—”, (she, was, rather]"
"glad there _was_ no one listening, this time, as it didn’t sound at all",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[glad, there, _was_, no, one, listening,, this, time,, as, it, didn’t, sound, at, all]"
the right word) “—but I shall have to ask them what the name of the,67,15,"[67.0,15.0]","[0.8276122499827785,1.2204272491184758]","[the, right, word), “—but, i, shall, have, to, ask, them, what, the, name, of, the]"
"country is, you know. Please, Ma’am, is this New Zealand or Australia?”",71,12,"[71.0,12.0]","[0.963384628870272,0.6745153932746865]","[country, is,, you, know., please,, ma’am,, is, this, new, zealand, or, australia?”]"
(and she tried to curtsey as she spoke—fancy _curtseying_ as you’re,67,11,"[67.0,11.0]","[0.8276122499827785,0.49254477466009]","[(and, she, tried, to, curtsey, as, she, spoke—fancy, _curtseying_, as, you’re]"
falling through the air! Do you think you could manage it?) “And what,69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[falling, through, the, air!, do, you, think, you, could, manage, it?), “and, what]"
"an ignorant little girl she’ll think me for asking! No, it’ll never do",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[an, ignorant, little, girl, she’ll, think, me, for, asking!, no,, it’ll, never, do]"
to ask: perhaps I shall see it written up somewhere.”,53,10,"[53.0,10.0]","[0.3524089238765515,0.31057415604549354]","[to, ask:, perhaps, i, shall, see, it, written, up, somewhere.”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Down, down, down. There was nothing else to do, so Alice soon began",67,13,"[67.0,13.0]","[0.8276122499827785,0.8564860118892829]","[down,, down,, down., there, was, nothing, else, to, do,, so, alice, soon, began]"
"talking again. “Dinah’ll miss me very much to-night, I should think!”",69,11,"[69.0,11.0]","[0.8954984394265252,0.49254477466009]","[talking, again., “dinah’ll, miss, me, very, much, to-night,, i, should, think!”]"
(Dinah was the cat.) “I hope they’ll remember her saucer of milk at,67,13,"[67.0,13.0]","[0.8276122499827785,0.8564860118892829]","[(dinah, was, the, cat.), “i, hope, they’ll, remember, her, saucer, of, milk, at]"
tea-time. Dinah my dear! I wish you were down here with me! There are,69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[tea-time., dinah, my, dear!, i, wish, you, were, down, here, with, me!, there, are]"
"no mice in the air, I’m afraid, but you might catch a bat, and that’s",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[no, mice, in, the, air,, i’m, afraid,, but, you, might, catch, a, bat,, and, that’s]"
"very like a mouse, you know. But do cats eat bats, I wonder?” And here",70,15,"[70.0,15.0]","[0.9294415341483986,1.2204272491184758]","[very, like, a, mouse,, you, know., but, do, cats, eat, bats,, i, wonder?”, and, here]"
"Alice began to get rather sleepy, and went on saying to herself, in a",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[alice, began, to, get, rather, sleepy,, and, went, on, saying, to, herself,, in, a]"
"dreamy sort of way, “Do cats eat bats? Do cats eat bats?” and",61,13,"[61.0,13.0]","[0.6239536816515383,0.8564860118892829]","[dreamy, sort, of, way,, “do, cats, eat, bats?, do, cats, eat, bats?”, and]"
"sometimes, “Do bats eat cats?” for, you see, as she couldn’t answer",67,12,"[67.0,12.0]","[0.8276122499827785,0.6745153932746865]","[sometimes,, “do, bats, eat, cats?”, for,, you, see,, as, she, couldn’t, answer]"
"either question, it didn’t much matter which way she put it. She felt",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[either, question,, it, didn’t, much, matter, which, way, she, put, it., she, felt]"
"that she was dozing off, and had just begun to dream that she was",65,14,"[65.0,14.0]","[0.7597260605390318,1.0384566305038794]","[that, she, was, dozing, off,, and, had, just, begun, to, dream, that, she, was]"
"walking hand in hand with Dinah, and saying to her very earnestly,",66,12,"[66.0,12.0]","[0.7936691552609052,0.6745153932746865]","[walking, hand, in, hand, with, dinah,, and, saying, to, her, very, earnestly,]"
"“Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly,",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[“now,, dinah,, tell, me, the, truth:, did, you, ever, eat, a, bat?”, when, suddenly,]"
"thump! thump! down she came upon a heap of sticks and dry leaves, and",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[thump!, thump!, down, she, came, upon, a, heap, of, sticks, and, dry, leaves,, and]"
the fall was over.,18,4,"[18.0,4.0]","[-0.8355993913890161,-0.781249555642085]","[the, fall, was, over.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Alice was not a bit hurt, and she jumped up on to her feet in a moment:",71,17,"[71.0,17.0]","[0.963384628870272,1.5843684863476686]","[alice, was, not, a, bit, hurt,, and, she, jumped, up, on, to, her, feet, in, a, moment:]"
"she looked up, but it was all dark overhead; before her was another",67,13,"[67.0,13.0]","[0.8276122499827785,0.8564860118892829]","[she, looked, up,, but, it, was, all, dark, overhead;, before, her, was, another]"
"long passage, and the White Rabbit was still in sight, hurrying down",68,12,"[68.0,12.0]","[0.8615553447046519,0.6745153932746865]","[long, passage,, and, the, white, rabbit, was, still, in, sight,, hurrying, down]"
"it. There was not a moment to be lost: away went Alice like the wind,",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[it., there, was, not, a, moment, to, be, lost:, away, went, alice, like, the, wind,]"
"and was just in time to hear it say, as it turned a corner, “Oh my ears",71,17,"[71.0,17.0]","[0.963384628870272,1.5843684863476686]","[and, was, just, in, time, to, hear, it, say,, as, it, turned, a, corner,, “oh, my, ears]"
"and whiskers, how late it’s getting!” She was close behind it when she",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[and, whiskers,, how, late, it’s, getting!”, she, was, close, behind, it, when, she]"
"turned the corner, but the Rabbit was no longer to be seen: she found",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[turned, the, corner,, but, the, rabbit, was, no, longer, to, be, seen:, she, found]"
"herself in a long, low hall, which was lit up by a row of lamps hanging",71,16,"[71.0,16.0]","[0.963384628870272,1.4023978677330722]","[herself, in, a, long,, low, hall,, which, was, lit, up, by, a, row, of, lamps, hanging]"
from the roof.,14,3,"[14.0,3.0]","[-0.9713717702765096,-0.9632201742566815]","[from, the, roof.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"There were doors all round the hall, but they were all locked; and when",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[there, were, doors, all, round, the, hall,, but, they, were, all, locked;, and, when]"
"Alice had been all the way down one side and up the other, trying every",71,15,"[71.0,15.0]","[0.963384628870272,1.2204272491184758]","[alice, had, been, all, the, way, down, one, side, and, up, the, other,, trying, every]"
"door, she walked sadly down the middle, wondering how she was ever to",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[door,, she, walked, sadly, down, the, middle,, wondering, how, she, was, ever, to]"
get out again.,14,3,"[14.0,3.0]","[-0.9713717702765096,-0.9632201742566815]","[get, out, again.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Suddenly she came upon a little three-legged table, all made of solid",69,12,"[69.0,12.0]","[0.8954984394265252,0.6745153932746865]","[suddenly, she, came, upon, a, little, three-legged, table,, all, made, of, solid]"
"glass; there was nothing on it except a tiny golden key, and Alice’s",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[glass;, there, was, nothing, on, it, except, a, tiny, golden, key,, and, alice’s]"
first thought was that it might belong to one of the doors of the hall;,71,15,"[71.0,15.0]","[0.963384628870272,1.2204272491184758]","[first, thought, was, that, it, might, belong, to, one, of, the, doors, of, the, hall;]"
"but, alas! either the locks were too large, or the key was too small,",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[but,, alas!, either, the, locks, were, too, large,, or, the, key, was, too, small,]"
"but at any rate it would not open any of them. However, on the second",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[but, at, any, rate, it, would, not, open, any, of, them., however,, on, the, second]"
"time round, she came upon a low curtain she had not noticed before, and",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[time, round,, she, came, upon, a, low, curtain, she, had, not, noticed, before,, and]"
behind it was a little door about fifteen inches high: she tried the,68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[behind, it, was, a, little, door, about, fifteen, inches, high:, she, tried, the]"
"little golden key in the lock, and to her great delight it fitted!",66,13,"[66.0,13.0]","[0.7936691552609052,0.8564860118892829]","[little, golden, key, in, the, lock,, and, to, her, great, delight, it, fitted!]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Alice opened the door and found that it led into a small passage, not",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[alice, opened, the, door, and, found, that, it, led, into, a, small, passage,, not]"
much larger than a rat-hole: she knelt down and looked along the,64,12,"[64.0,12.0]","[0.7257829658171584,0.6745153932746865]","[much, larger, than, a, rat-hole:, she, knelt, down, and, looked, along, the]"
passage into the loveliest garden you ever saw. How she longed to get,69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[passage, into, the, loveliest, garden, you, ever, saw., how, she, longed, to, get]"
